#x=tau [fm/c]	y=eta	z=az Spin Potential
1.0015999999999998	4.100000000000001	0.05825894851406553
1.0015999999999998	4.300000000000001	0.05239348632962833
1.0015999999999998	4.500000000000002	0.04716412589886319
1.0015999999999998	4.700000000000001	0.0424925440434477
1.0015999999999998	4.9	0.038310734118001455
1.0015999999999998	5.100000000000001	0.034561684867083026
1.0015999999999998	5.300000000000001	0.03119534624659015
1.0015999999999998	5.500000000000002	0.02816896285824761
1.0015999999999998	5.700000000000001	0.025445351710626816
1.0015999999999998	5.9	0.02299178862452339
1.0015999999999998	6.1	0.02078001950272094
1.0015999999999998	6.3000000000000025	0.018784788089953368
1.0015999999999998	6.500000000000002	0.01698400228377964
1.0015999999999998	6.700000000000001	0.015357998573413053
1.0015999999999998	6.9	0.013889207986655655
1.0015999999999998	7.1	0.012562104896885404
1.0015999999999998	7.3000000000000025	0.011362653428790158
1.0015999999999998	7.500000000000002	0.010278389387629927
1.0015999999999998	7.700000000000001	0.009298080157559214
1.0015999999999998	7.9	0.008411611488696593
1.0015999999999998	8.1	0.007609942616787975
1.0015999999999998	8.300000000000002	0.006884857527844745
1.0015999999999998	8.500000000000002	0.006229013764316985
1.0015999999999998	8.700000000000001	0.0056357553512365625
1.0015999999999998	8.9	0.005099073222826434
1.0015999999999998	9.100000000000003	0.00461356833831948
1.0015999999999998	9.300000000000002	0.004174323830508292
1.0015999999999998	9.500000000000002	0.0037769448917646634
1.0015999999999998	9.700000000000001	0.0034174116464422716
1.0015999999999998	9.9	0.003092104263052423
1.0015999999999998	10.100000000000003	0.002797802954264046
1.0031999999999999	-10.1	-0.0027955753628231927
